CensusYear,County,Sex,Age Group,VALUE
2011,Roscommon,Male,80 years and over,299.0
2011,Roscommon,Male,85 years and over,115.0
2011,Roscommon,Female,65 years and over,1512.0
2011,Roscommon,Female,70 years and over,1232.0
2011,Roscommon,Female,75 years and over,934.0
2011,Roscommon,Female,80 years and over,578.0
2011,Roscommon,Female,85 years and over,231.0
2016,Roscommon,All,65 years and over,2919.0
2016,Roscommon,All,70 years and over,2209.0
2016,Roscommon,All,75 years and over,1549.0
2016,Roscommon,All,80 years and over,988.0
2016,Roscommon,All,85 years and over,485.0
2016,Roscommon,Male,65 years and over,1271.0
2016,Roscommon,Male,70 years and over,905.0
2016,Roscommon,Male,75 years and over,571.0
2016,Roscommon,Male,80 years and over,330.0
2016,Roscommon,Male,85 years and over,159.0
2016,Roscommon,Female,65 years and over,1648.0
2016,Roscommon,Female,70 years and over,1304.0
2016,Roscommon,Female,75 years and over,978.0
2016,Roscommon,Female,80 years and over,658.0
2016,Roscommon,Female,85 years and over,326.0
2022,Roscommon,All,65 years and over,3441.0
2022,Roscommon,All,70 years and over,2602.0
2022,Roscommon,All,75 years and over,1809.0
2022,Roscommon,All,80 years and over,1106.0
2022,Roscommon,All,85 years and over,546.0
2022,Roscommon,Male,65 years and over,1540.0
2022,Roscommon,Male,70 years and over,1100.0
2022,Roscommon,Male,75 years and over,722.0
2022,Roscommon,Male,80 years and over,389.0
2022,Roscommon,Male,85 years and over,169.0
2022,Roscommon,Female,65 years and over,1901.0
2022,Roscommon,Female,70 years and over,1502.0
2022,Roscommon,Female,75 years and over,1087.0
2022,Roscommon,Female,80 years and over,717.0
2022,Roscommon,Female,85 years and over,377.0
2025,Roscommon,All,65 years and over,3736.0
2025,Roscommon,All,70 years and over,2824.0
2025,Roscommon,All,75 years and over,1955.0
2025,Roscommon,All,80 years and over,1170.0
2025,Roscommon,All,85 years and over,579.0
2025,Roscommon,Male,65 years and over,1695.0
2025,Roscommon,Male,70 years and over,1213.0
2025,Roscommon,Male,75 years and over,812.0
2025,Roscommon,Male,80 years and over,422.0
2025,Roscommon,Male,85 years and over,174.0
2025,Roscommon,Female,65 years and over,2042.0
2025,Roscommon,Female,70 years and over,1612.0
2025,Roscommon,Female,75 years and over,1146.0
2025,Roscommon,Female,80 years and over,748.0
2025,Roscommon,Female,85 years and over,405.0
2011,Sligo,All,65 years and over,2423.0
2011,Sligo,All,70 years and over,1905.0
2011,Sligo,All,75 years and over,1376.0
2011,Sligo,All,80 years and over,826.0
2011,Sligo,All,85 years and over,392.0
2011,Sligo,Male,65 years and over,943.0
2011,Sligo,Male,70 years and over,685.0
2011,Sligo,Male,75 years and over,456.0
2011,Sligo,Male,80 years and over,253.0
2011,Sligo,Male,85 years and over,112.0
2011,Sligo,Female,65 years and over,1480.0
2011,Sligo,Female,70 years and over,1220.0
2011,Sligo,Female,75 years and over,920.0
2011,Sligo,Female,80 years and over,573.0
2011,Sligo,Female,85 years and over,280.0
2016,Sligo,All,65 years and over,2809.0
2016,Sligo,All,70 years and over,2099.0
2016,Sligo,All,75 years and over,1490.0
2016,Sligo,All,80 years and over,934.0
2016,Sligo,All,85 years and over,436.0
2016,Sligo,Male,65 years and over,1145.0
2016,Sligo,Male,70 years and over,787.0
2016,Sligo,Male,75 years and over,511.0
2016,Sligo,Male,80 years and over,294.0
2016,Sligo,Male,85 years and over,125.0
2016,Sligo,Female,65 years and over,1664.0
2016,Sligo,Female,70 years and over,1312.0
2016,Sligo,Female,75 years and over,979.0
2016,Sligo,Female,80 years and over,640.0
2016,Sligo,Female,85 years and over,311.0
2022,Sligo,All,65 years and over,3402.0
2022,Sligo,All,70 years and over,2540.0
2022,Sligo,All,75 years and over,1750.0
2022,Sligo,All,80 years and over,1045.0
2022,Sligo,All,85 years and over,539.0
2022,Sligo,Male,65 years and over,1408.0
2022,Sligo,Male,70 years and over,984.0
2022,Sligo,Male,75 years and over,623.0
2022,Sligo,Male,80 years and over,346.0
2022,Sligo,Male,85 years and over,183.0
2022,Sligo,Female,65 years and over,1994.0
2022,Sligo,Female,70 years and over,1556.0
2022,Sligo,Female,75 years and over,1127.0
2022,Sligo,Female,80 years and over,699.0
2022,Sligo,Female,85 years and over,356.0
2025,Sligo,All,65 years and over,3744.0
2025,Sligo,All,70 years and over,2794.0
2025,Sligo,All,75 years and over,1897.0
2025,Sligo,All,80 years and over,1105.0
2025,Sligo,All,85 years and over,599.0
2025,Sligo,Male,65 years and over,1561.0
2025,Sligo,Male,70 years and over,1100.0
2025,Sligo,Male,75 years and over,688.0
2025,Sligo,Male,80 years and over,375.0
2025,Sligo,Male,85 years and over,221.0
2025,Sligo,Female,65 years and over,2183.0
2025,Sligo,Female,70 years and over,1695.0
2025,Sligo,Female,75 years and over,1209.0
2025,Sligo,Female,80 years and over,731.0
2025,Sligo,Female,85 years and over,381.0
2011,South Dublin,All,65 years and over,4835.0
2011,South Dublin,All,70 years and over,3570.0
2011,South Dublin,All,75 years and over,2388.0
2011,South Dublin,All,80 years and over,1361.0
2011,South Dublin,All,85 years and over,570.0
2011,South Dublin,Male,65 years and over,1398.0
2011,South Dublin,Male,70 years and over,983.0
2011,South Dublin,Male,75 years and over,628.0
2011,South Dublin,Male,80 years and over,339.0
2011,South Dublin,Male,85 years and over,147.0
2011,South Dublin,Female,65 years and over,3437.0
2011,South Dublin,Female,70 years and over,2587.0
2011,South Dublin,Female,75 years and over,1760.0
2011,South Dublin,Female,80 years and over,1022.0
2011,South Dublin,Female,85 years and over,423.0
2016,South Dublin,All,65 years and over,6208.0
2016,South Dublin,All,70 years and over,4486.0
2016,South Dublin,All,75 years and over,3106.0
2016,South Dublin,All,80 years and over,1794.0
2016,South Dublin,All,85 years and over,809.0
2016,South Dublin,Male,65 years and over,1918.0
2016,South Dublin,Male,70 years and over,1323.0
2016,South Dublin,Male,75 years and over,889.0
2016,South Dublin,Male,80 years and over,501.0
2016,South Dublin,Male,85 years and over,219.0
2016,South Dublin,Female,65 years and over,4290.0
2016,South Dublin,Female,70 years and over,3163.0
2016,South Dublin,Female,75 years and over,2217.0
2016,South Dublin,Female,80 years and over,1293.0
2016,South Dublin,Female,85 years and over,590.0
2022,South Dublin,All,65 years and over,8261.0
2022,South Dublin,All,70 years and over,6329.0
2022,South Dublin,All,75 years and over,4303.0
2022,South Dublin,All,80 years and over,2593.0
2022,South Dublin,All,85 years and over,1280.0
2022,South Dublin,Male,65 years and over,2574.0
2022,South Dublin,Male,70 years and over,1919.0
2022,South Dublin,Male,75 years and over,1259.0
2022,South Dublin,Male,80 years and over,747.0
2022,South Dublin,Male,85 years and over,338.0
2022,South Dublin,Female,65 years and over,5687.0
2022,South Dublin,Female,70 years and over,4410.0
2022,South Dublin,Female,75 years and over,3044.0
2022,South Dublin,Female,80 years and over,1846.0
2022,South Dublin,Female,85 years and over,942.0
2025,South Dublin,All,65 years and over,9530.0
2025,South Dublin,All,70 years and over,7517.0
2025,South Dublin,All,75 years and over,5065.0
2025,South Dublin,All,80 years and over,3117.0
2025,South Dublin,All,85 years and over,1610.0
2025,South Dublin,Male,65 years and over,2982.0
2025,South Dublin,Male,70 years and over,2311.0
2025,South Dublin,Male,75 years and over,1498.0
2025,South Dublin,Male,80 years and over,912.0
2025,South Dublin,Male,85 years and over,420.0
2025,South Dublin,Female,65 years and over,6548.0
2025,South Dublin,Female,70 years and over,5207.0
2025,South Dublin,Female,75 years and over,3567.0
2025,South Dublin,Female,80 years and over,2206.0
2025,South Dublin,Female,85 years and over,1190.0
2011,Tipperary,All,65 years and over,5641.0
2011,Tipperary,All,70 years and over,4358.0
2011,Tipperary,All,75 years and over,3117.0
2011,Tipperary,All,80 years and over,1864.0
2011,Tipperary,All,85 years and over,767.0
2011,Tipperary,Male,65 years and over,2131.0
2011,Tipperary,Male,70 years and over,1531.0
2011,Tipperary,Male,75 years and over,992.0
2011,Tipperary,Male,80 years and over,546.0
2011,Tipperary,Male,85 years and over,192.0
2011,Tipperary,Female,65 years and over,3510.0
2011,Tipperary,Female,70 years and over,2827.0
2011,Tipperary,Female,75 years and over,2125.0
2011,Tipperary,Female,80 years and over,1318.0
2011,Tipperary,Female,85 years and over,575.0
2016,Tipperary,All,65 years and over,6369.0
2016,Tipperary,All,70 years and over,4730.0
2016,Tipperary,All,75 years and over,3310.0
2016,Tipperary,All,80 years and over,2005.0
2016,Tipperary,All,85 years and over,925.0
2016,Tipperary,Male,65 years and over,2484.0
2016,Tipperary,Male,70 years and over,1663.0
2016,Tipperary,Male,75 years and over,1083.0
2016,Tipperary,Male,80 years and over,592.0
2016,Tipperary,Male,85 years and over,243.0
2016,Tipperary,Female,65 years and over,3885.0
2016,Tipperary,Female,70 years and over,3067.0
2016,Tipperary,Female,75 years and over,2227.0
2016,Tipperary,Female,80 years and over,1413.0
2016,Tipperary,Female,85 years and over,682.0
2022,Tipperary,All,65 years and over,7511.0
2022,Tipperary,All,70 years and over,5659.0
2022,Tipperary,All,75 years and over,3947.0
2022,Tipperary,All,80 years and over,2390.0
2022,Tipperary,All,85 years and over,1172.0
2022,Tipperary,Male,65 years and over,3142.0
2022,Tipperary,Male,70 years and over,2188.0
2022,Tipperary,Male,75 years and over,1386.0
2022,Tipperary,Male,80 years and over,791.0
2022,Tipperary,Male,85 years and over,363.0
2022,Tipperary,Female,65 years and over,4369.0
2022,Tipperary,Female,70 years and over,3471.0
2022,Tipperary,Female,75 years and over,2561.0
2022,Tipperary,Female,80 years and over,1599.0
2022,Tipperary,Female,85 years and over,809.0
2025,Tipperary,All,65 years and over,8157.0
2025,Tipperary,All,70 years and over,6190.0
2025,Tipperary,All,75 years and over,4310.0
2025,Tipperary,All,80 years and over,2609.0
2025,Tipperary,All,85 years and over,1319.0
2025,Tipperary,Male,65 years and over,3534.0
2025,Tipperary,Male,70 years and over,2510.0
2025,Tipperary,Male,75 years and over,1568.0
2025,Tipperary,Male,80 years and over,914.0
2025,Tipperary,Male,85 years and over,444.0
2025,Tipperary,Female,65 years and over,4633.0
2025,Tipperary,Female,70 years and over,3693.0
2025,Tipperary,Female,75 years and over,2746.0
2025,Tipperary,Female,80 years and over,1701.0
2025,Tipperary,Female,85 years and over,881.0
2022,Waterford City &,All,65 years and over,5257.0
2022,Waterford City &,All,70 years and over,3992.0
2022,Waterford City &,All,75 years and over,2772.0
2022,Waterford City &,All,80 years and over,1677.0
2022,Waterford City &,All,85 years and over,857.0
2022,Waterford City &,Male,65 years and over,2093.0
2022,Waterford City &,Male,70 years and over,1490.0
2022,Waterford City &,Male,75 years and over,954.0
2022,Waterford City &,Male,80 years and over,534.0
2022,Waterford City &,Male,85 years and over,262.0
2022,Waterford City &,Female,65 years and over,3164.0
2022,Waterford City &,Female,70 years and over,2502.0
2022,Waterford City &,Female,75 years and over,1818.0
2022,Waterford City &,Female,80 years and over,1143.0
2022,Waterford City &,Female,85 years and over,595.0
2011,Waterford City and County,All,65 years and over,3686.0
2011,Waterford City and County,All,70 years and over,2818.0
2011,Waterford City and County,All,75 years and over,1998.0
2011,Waterford City and County,All,80 years and over,1145.0
2011,Waterford City and County,All,85 years and over,528.0
2011,Waterford City and County,Male,65 years and over,1334.0
2011,Waterford City and County,Male,70 years and over,926.0
2011,Waterford City and County,Male,75 years and over,595.0
2011,Waterford City and County,Male,80 years and over,327.0
2011,Waterford City and County,Male,85 years and over,149.0
2011,Waterford City and County,Female,65 years and over,2352.0
2011,Waterford City and County,Female,70 years and over,1892.0
2011,Waterford City and County,Female,75 years and over,1403.0
2011,Waterford City and County,Female,80 years and over,818.0
2011,Waterford City and County,Female,85 years and over,379.0
2016,Waterford City and County,All,65 years and over,4340.0
2016,Waterford City and County,All,70 years and over,3218.0
2016,Waterford City and County,All,75 years and over,2226.0
2016,Waterford City and County,All,80 years and over,1371.0
2016,Waterford City and County,All,85 years and over,592.0
2016,Waterford City and County,Male,65 years and over,1637.0
2016,Waterford City and County,Male,70 years and over,1105.0
2016,Waterford City and County,Male,75 years and over,687.0
2016,Waterford City and County,Male,80 years and over,375.0
2016,Waterford City and County,Male,85 years and over,155.0
2016,Waterford City and County,Female,65 years and over,2703.0
2016,Waterford City and County,Female,70 years and over,2113.0
2016,Waterford City and County,Female,75 years and over,1539.0
2016,Waterford City and County,Female,80 years and over,996.0
2016,Waterford City and County,Female,85 years and over,437.0
2011,Westmeath,All,65 years and over,2412.0
2011,Westmeath,All,70 years and over,1865.0
2011,Westmeath,All,75 years and over,1333.0
2011,Westmeath,All,80 years and over,787.0
2011,Westmeath,All,85 years and over,312.0
2011,Westmeath,Male,65 years and over,847.0
2011,Westmeath,Male,70 years and over,606.0
2011,Westmeath,Male,75 years and over,394.0
2011,Westmeath,Male,80 years and over,217.0
2011,Westmeath,Male,85 years and over,87.0
2011,Westmeath,Female,65 years and over,1565.0
2011,Westmeath,Female,70 years and over,1259.0
2011,Westmeath,Female,75 years and over,939.0
2011,Westmeath,Female,80 years and over,570.0
2011,Westmeath,Female,85 years and over,225.0
2016,Westmeath,All,65 years and over,2785.0
2016,Westmeath,All,70 years and over,2086.0
2016,Westmeath,All,75 years and over,1433.0
2016,Westmeath,All,80 years and over,872.0
2016,Westmeath,All,85 years and over,390.0
2016,Westmeath,Male,65 years and over,1060.0
2016,Westmeath,Male,70 years and over,723.0
2016,Westmeath,Male,75 years and over,448.0
2016,Westmeath,Male,80 years and over,247.0
2016,Westmeath,Male,85 years and over,99.0
2016,Westmeath,Female,65 years and over,1725.0
2016,Westmeath,Female,70 years and over,1363.0
2016,Westmeath,Female,75 years and over,985.0
2016,Westmeath,Female,80 years and over,625.0
2016,Westmeath,Female,85 years and over,291.0
2022,Westmeath,All,65 years and over,3446.0
2022,Westmeath,All,70 years and over,2526.0
2022,Westmeath,All,75 years and over,1744.0
2022,Westmeath,All,80 years and over,1041.0
2022,Westmeath,All,85 years and over,516.0
2022,Westmeath,Male,65 years and over,1405.0
2022,Westmeath,Male,70 years and over,956.0
2022,Westmeath,Male,75 years and over,605.0
2022,Westmeath,Male,80 years and over,337.0
2022,Westmeath,Male,85 years and over,157.0
2022,Westmeath,Female,65 years and over,2041.0
2022,Westmeath,Female,70 years and over,1570.0
2022,Westmeath,Female,75 years and over,1139.0
2022,Westmeath,Female,80 years and over,704.0
2022,Westmeath,Female,85 years and over,359.0
2025,Westmeath,All,65 years and over,3833.0
2025,Westmeath,All,70 years and over,2780.0
2025,Westmeath,All,75 years and over,1924.0
2025,Westmeath,All,80 years and over,1137.0
2025,Westmeath,All,85 years and over,594.0
2025,Westmeath,Male,65 years and over,1618.0
2025,Westmeath,Male,70 years and over,1099.0
2025,Westmeath,Male,75 years and over,703.0
2025,Westmeath,Male,80 years and over,394.0
2025,Westmeath,Male,85 years and over,198.0
2025,Westmeath,Female,65 years and over,2220.0
2025,Westmeath,Female,70 years and over,1685.0
2025,Westmeath,Female,75 years and over,1225.0
2025,Westmeath,Female,80 years and over,747.0
2025,Westmeath,Female,85 years and over,399.0
2011,Wexford,All,65 years and over,4500.0
2011,Wexford,All,70 years and over,3336.0
2011,Wexford,All,75 years and over,2275.0
2011,Wexford,All,80 years and over,1274.0
2011,Wexford,All,85 years and over,537.0
2011,Wexford,Male,65 years and over,1712.0
2011,Wexford,Male,70 years and over,1169.0
2011,Wexford,Male,75 years and over,731.0
2011,Wexford,Male,80 years and over,381.0
2011,Wexford,Male,85 years and over,148.0
2011,Wexford,Female,65 years and over,2788.0
2011,Wexford,Female,70 years and over,2167.0
2011,Wexford,Female,75 years and over,1544.0
2011,Wexford,Female,80 years and over,893.0
2011,Wexford,Female,85 years and over,389.0
2016,Wexford,All,65 years and over,5367.0
2016,Wexford,All,70 years and over,3995.0
2016,Wexford,All,75 years and over,2693.0
2016,Wexford,All,80 years and over,1558.0
2016,Wexford,All,85 years and over,685.0
2016,Wexford,Male,65 years and over,2134.0
2016,Wexford,Male,70 years and over,1473.0
2016,Wexford,Male,75 years and over,938.0
2016,Wexford,Male,80 years and over,500.0
2016,Wexford,Male,85 years and over,193.0
2016,Wexford,Female,65 years and over,3233.0
2016,Wexford,Female,70 years and over,2522.0
2016,Wexford,Female,75 years and over,1755.0
2016,Wexford,Female,80 years and over,1058.0
2016,Wexford,Female,85 years and over,492.0
2022,Wexford,All,65 years and over,6628.0
2022,Wexford,All,70 years and over,5066.0
2022,Wexford,All,75 years and over,3502.0
2022,Wexford,All,80 years and over,2085.0
2022,Wexford,All,85 years and over,962.0
2022,Wexford,Male,65 years and over,2721.0
2022,Wexford,Male,70 years and over,1975.0
2022,Wexford,Male,75 years and over,1254.0
2022,Wexford,Male,80 years and over,713.0
2022,Wexford,Male,85 years and over,292.0
2022,Wexford,Female,65 years and over,3907.0
2022,Wexford,Female,70 years and over,3091.0
2022,Wexford,Female,75 years and over,2248.0
2022,Wexford,Female,80 years and over,1372.0
2022,Wexford,Female,85 years and over,670.0
2025,Wexford,All,65 years and over,7366.0
2025,Wexford,All,70 years and over,5705.0
2025,Wexford,All,75 years and over,3994.0
2025,Wexford,All,80 years and over,2412.0
2025,Wexford,All,85 years and over,1140.0
2025,Wexford,Male,65 years and over,3073.0
2025,Wexford,Male,70 years and over,2287.0
2025,Wexford,Male,75 years and over,1450.0
2025,Wexford,Male,80 years and over,851.0
2025,Wexford,Male,85 years and over,359.0
2025,Wexford,Female,65 years and over,4295.0
2025,Wexford,Female,70 years and over,3422.0
2025,Wexford,Female,75 years and over,2544.0
2025,Wexford,Female,80 years and over,1562.0
2025,Wexford,Female,85 years and over,782.0
2011,Wicklow,All,65 years and over,3527.0
2011,Wicklow,All,70 years and over,2626.0
2011,Wicklow,All,75 years and over,1829.0
2011,Wicklow,All,80 years and over,1083.0
2011,Wicklow,All,85 years and over,470.0
2011,Wicklow,Male,65 years and over,1167.0
2011,Wicklow,Male,70 years and over,801.0
2011,Wicklow,Male,75 years and over,522.0
2011,Wicklow,Male,80 years and over,293.0
2011,Wicklow,Male,85 years and over,117.0
2011,Wicklow,Female,65 years and over,2360.0
2011,Wicklow,Female,70 years and over,1825.0
2011,Wicklow,Female,75 years and over,1307.0
2011,Wicklow,Female,80 years and over,790.0
2011,Wicklow,Female,85 years and over,353.0
2016,Wicklow,All,65 years and over,4049.0
2016,Wicklow,All,70 years and over,3017.0
2016,Wicklow,All,75 years and over,2066.0
2016,Wicklow,All,80 years and over,1242.0
2016,Wicklow,All,85 years and over,567.0
2016,Wicklow,Male,65 years and over,1461.0
2016,Wicklow,Male,70 years and over,1015.0
2016,Wicklow,Male,75 years and over,636.0
2016,Wicklow,Male,80 years and over,353.0
2016,Wicklow,Male,85 years and over,146.0
2016,Wicklow,Female,65 years and over,2588.0
2016,Wicklow,Female,70 years and over,2002.0
2016,Wicklow,Female,75 years and over,1430.0
2016,Wicklow,Female,80 years and over,889.0
2016,Wicklow,Female,85 years and over,421.0
2022,Wicklow,All,65 years and over,5242.0
2022,Wicklow,All,70 years and over,3961.0
2022,Wicklow,All,75 years and over,2721.0
2022,Wicklow,All,80 years and over,1610.0
2022,Wicklow,All,85 years and over,778.0
2022,Wicklow,Male,65 years and over,1966.0
2022,Wicklow,Male,70 years and over,1401.0
2022,Wicklow,Male,75 years and over,915.0
2022,Wicklow,Male,80 years and over,503.0
2022,Wicklow,Male,85 years and over,209.0
2022,Wicklow,Female,65 years and over,3276.0
2022,Wicklow,Female,70 years and over,2560.0
2022,Wicklow,Female,75 years and over,1806.0
2022,Wicklow,Female,80 years and over,1107.0
2022,Wicklow,Female,85 years and over,569.0
2025,Wicklow,All,65 years and over,5964.0
2025,Wicklow,All,70 years and over,4539.0
2025,Wicklow,All,75 years and over,3123.0
2025,Wicklow,All,80 years and over,1833.0
2025,Wicklow,All,85 years and over,911.0
2025,Wicklow,Male,65 years and over,2281.0
2025,Wicklow,Male,70 years and over,1646.0
2025,Wicklow,Male,75 years and over,1097.0
2025,Wicklow,Male,80 years and over,600.0
2025,Wicklow,Male,85 years and over,250.0
2025,Wicklow,Female,65 years and over,3686.0
2025,Wicklow,Female,70 years and over,2895.0
2025,Wicklow,Female,75 years and over,2030.0
2025,Wicklow,Female,80 years and over,1235.0
2025,Wicklow,Female,85 years and over,661.0
